Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,150.000000,150.500000,144.509995,146.000000,146.000000,67159
2020-03-17,146.000000,148.000000,143.100006,145.000000,145.000000,81127
2020-03-18,143.000000,143.699997,115.699997,117.050003,117.050003,105330
2020-03-19,117.050003,130.089996,107.500000,129.610001,129.610001,78790
2020-03-20,139.020004,146.729996,135.500000,136.000000,136.000000,42208
2020-03-23,135.500000,135.500000,125.000000,133.389999,133.389999,38383
2020-03-24,133.389999,140.000000,133.350006,140.000000,140.000000,32544
2020-03-25,141.990005,154.979996,141.979996,152.509995,152.509995,56454
2020-03-26,152.509995,162.000000,148.600006,158.889999,158.889999,57561
2020-03-27,158.889999,161.979996,152.000000,160.889999,160.889999,51315
2020-03-30,160.800003,160.889999,157.000000,159.000000,159.000000,19555
2020-03-31,159.970001,160.789993,158.000000,158.050003,158.050003,17132
2020-04-01,157.000000,157.990005,148.000000,154.000000,154.000000,22238
2020-04-02,156.000000,156.690002,153.000000,153.000000,153.000000,24388
2020-04-03,155.979996,155.979996,151.020004,152.000000,152.000000,21933
2020-04-06,155.839996,155.889999,154.300003,155.570007,155.570007,20735
2020-04-07,156.490005,163.000000,156.009995,162.500000,162.500000,43911
2020-04-08,162.000000,168.000000,160.000000,167.800003,167.800003,28079
2020-04-09,167.699997,171.990005,164.130005,170.240005,170.240005,30320
2020-04-13,169.770004,171.000000,167.330002,170.779999,170.779999,22643
2020-04-14,170.990005,174.169998,170.779999,173.850006,173.850006,20164
2020-04-15,173.850006,173.960007,170.850006,173.800003,173.800003,23419
2020-04-16,173.800003,178.979996,171.059998,176.899994,176.899994,24167
2020-04-17,176.899994,182.410004,175.020004,178.000000,178.000000,27394
2020-04-20,176.580002,177.500000,172.000000,177.000000,177.000000,23358
2020-04-22,176.990005,179.990005,176.009995,179.990005,179.990005,34881
2020-04-23,180.000000,182.000000,178.100006,181.979996,181.979996,33516
2020-04-24,181.880005,181.880005,171.050003,177.100006,177.100006,49336
2020-04-27,176.500000,180.000000,175.009995,176.149994,176.149994,27572
2020-04-28,177.500000,177.500000,176.809998,177.199997,177.199997,15734
2020-04-29,177.509995,178.000000,174.050003,176.880005,176.880005,17839
2020-04-30,176.899994,176.990005,168.500000,173.000000,173.000000,38063
2020-05-04,170.000000,170.009995,165.119995,167.990005,167.990005,33971
2020-05-05,168.699997,172.000000,165.000000,165.020004,165.020004,38408
2020-05-06,165.990005,167.300003,163.029999,166.000000,166.000000,26670
2020-05-07,167.300003,169.350006,165.020004,165.550003,165.550003,34257
2020-05-08,166.020004,169.869995,166.020004,169.789993,169.789993,23016
2020-05-11,169.990005,175.000000,167.100006,173.889999,173.889999,27852
2020-05-12,173.889999,176.449997,173.699997,175.800003,175.800003,22316
2020-05-13,176.199997,178.770004,172.009995,173.710007,173.710007,26873
2020-05-14,173.710007,174.949997,170.020004,173.899994,173.899994,18551
2020-05-15,173.899994,177.000000,171.309998,174.470001,174.470001,31727
2020-05-18,174.789993,175.729996,171.899994,175.199997,175.199997,20591
2020-05-19,175.360001,177.899994,175.360001,176.660004,176.660004,21571
2020-05-20,177.199997,178.869995,175.750000,176.979996,176.979996,24540
2020-05-21,176.979996,177.979996,174.110001,175.100006,175.100006,27376
2020-05-22,175.110001,179.050003,175.110001,179.050003,179.050003,23666
2020-05-25,179.130005,181.100006,175.570007,180.199997,180.199997,24140
2020-05-26,180.199997,183.490005,179.360001,180.750000,180.750000,21507
2020-05-27,181.009995,183.000000,177.750000,177.970001,177.970001,20140
2020-05-28,178.009995,181.600006,176.000000,181.000000,181.000000,36450
2020-05-29,181.000000,182.979996,177.000000,181.949997,181.949997,23534
2020-06-01,181.490005,183.479996,181.199997,183.399994,183.399994,25117
2020-06-02,183.399994,189.970001,183.399994,188.309998,188.309998,33311
2020-06-03,189.100006,189.100006,184.250000,187.380005,187.380005,31348
2020-06-04,187.380005,187.880005,185.539993,187.300003,187.300003,25567
2020-06-05,187.300003,192.729996,187.300003,192.600006,192.600006,32107
2020-06-08,192.000000,192.000000,187.770004,190.500000,190.500000,33696
2020-06-09,190.500000,191.699997,189.449997,190.800003,190.800003,22159
2020-06-10,190.850006,193.360001,188.000000,189.279999,189.279999,33354
2020-06-12,189.000000,189.000000,180.899994,188.479996,188.479996,13404
